Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Typhaceae,Poales,3.552795031,0.5,1,0,0,0,1,0.5,0,.,.,0.4325,35.37521881
Ulmaceae,Rosales,2.461538462,0.307692308,1,1,0,.,1,0.75,0.25,2.22,.,1.661666667,29.95234185
Urticaceae,Rosales,0,0,0.525423729,0.186440678,0,0,1,0.6875,0.375,2.01,0.974,0.70375,50.00650089
Verbenaceae,Lamiales,3.314285714,0.157142857,0.830188679,0.060606061,0,0.888888889,1,1,1,2.05,.,1.56,67.61833079
Violaceae,Malpighiales,0.333778371,0.357142857,0.83472367,0.024444444,0,1,1,0.553571429,1,2.22,0.4,1.436666667,23.20069603
Vitaceae,Vitales,2.45014245,0.148148148,1,1,0.003529412,0,1,1,1,0.07,.,0.608928571,83.13822941
Winteraceae,Canellales,0,0,1,1,0,.,.,.,1,2.4,.,1.13,.
Woodsiaceae,Monilophytes,1.752229564,0.119402985,1,0,0,.,1,0.666666667,.,1.68,.,.,.
Xanthorrhoeaceae,Asparagales,3.03030303,0.045454545,0.966666667,0.244444444,0,0.019607843,1,0.5,1,.,0.946,16.72672131,31.60831924
Xyridaceae,Poales,0,0,1,0,0,1,.,.,1,4,.,7.01,.
Zingiberaceae,Zingiberales,0,0,1,0,0.001684211,1,.,.,1,0.75,.,1.486585366,66.83048593
Zosteraceae,Alismatales,0,0,1,0,0,.,1,0.5,0,.,0.87025,0.5425,16.49572198
Zygophyllaceae,Zygophyllales,0,0,0.462962963,0.074074074,0.010526316,0,.,.,1,2.11,0.8335,1.112777778,56.73686901
