Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value
Sasa,Poaceae,Poales,0,0,1,1,0.074314214,.,.,0,0,.,.,3.58,.
Satureja,Lamiaceae,Lamiales,0,0,0.933333333,0.3,0.004320557,.,1,1,1,.,.,1.68,28.35202215
Saussurea,Asteraceae,Asterales,8.333333333,0.333333333,1,0,0.00210989,.,1,0.5,1,.,.,.,.
Saxifraga,Saxifragaceae,Saxifragales,0.086902545,0.077777778,0.959253152,0.005405405,0,.,1,0.666666667,1,.,.,1.406666667,0
Scabiosa,Caprifoliaceae,Dipsacales,0.163265306,0.04,0.722222222,0,0,.,1,1,0.833333333,.,.,1.290833333,33.52507292
Scaevola,Goodeniaceae,Asterales,0.833333333,0.0625,1,0.75,0,.,.,.,1,1.8,.,.,.
Scandix,Apiaceae,Apiales,0,0,.,0,0.003968254,.,1,1,1,.,.,.,.
Schiedea,Caryophyllaceae,Caryophyllales,0.432900433,0.045454545,1,0.340909091,0.001818182,.,.,.,.,4,0.5275,1.116956522,25.08909053
Schinus,Anacardiaceae,Sapindales,0,0,1,1,0.002030457,.,.,.,1,2,.,.,.
Schismus,Poaceae,Poales,0,0,0,0,0.074314214,.,.,.,0,.,.,.,.
Schivereckia,Brassicaceae,Brassicales,0,0,1,0,0.00485306,.,.,.,.,.,.,0.52,.
Schizaea,Schizaeaceae,Monilophyta,0,0,1,0,0,.,.,.,.,.,.,.,.
Schoenocrambe,Brassicaceae,Brassicales,0,0,1,0,0.00485306,.,.,.,.,.,.,.,.
Schoenoplectus,Cyperaceae,Poales,3.03030303,0.166666667,0.791666667,0,0.00045977,.,1,0.5,0.071428571,.,.,0.45,15.71348403
Schoenus,Cyperaceae,Poales,0.333333333,0.04,0.86,0,0.00045977,.,1,0.5,0,.,.,.,.
Schrankia,Fabaceae,Fabales,0,0,1,0,0.096494845,.,.,.,.,.,.,.,.
Scilla,Asparagaceae,Asparagales,0,0,1,0,0,.,1,0.571428571,1,4,.,15.55825397,79.47999087
Scirpus,Cyperaceae,Poales,0.158702169,0.08411215,0.842105263,0,0.00045977,.,1,0.5,0,0,.,0.45,.
Scleranthus,Caryophyllaceae,Caryophyllales,0,0,0.535714286,0,0.001818182,.,1,1,1,.,.,.,.
Scleria,Cyperaceae,Poales,0,0,0.75,0,0.00045977,1,.,.,0,3,.,.,.
Sclerocactus,Cactaceae,Caryophyllales,0,0,1,1,0,.,.,.,.,.,.,.,.
Sclerolaena,Amaranthaceae,Caryophyllales,2.380952381,0.166666667,1,0.333333333,0.041463415,.,.,.,0,.,.,1.24,.
